"slug","faqJson"
"are-boerne-isd-schools-good","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Are Boerne ISD schools good?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""By the state's own measure, yes. Boerne ISD has earned an A rating from the Texas Education Agency for six consecutive years, scoring 92 points in the 2024-2025 ratings with 20 distinction designations. Not every campus rated A — the Boerne Star reported lower grades at four elementaries.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What does a TEA A rating actually measure?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The overall grade is the better of Student Achievement or School Progress weighted 70 percent, plus Closing the Gaps at 30 percent. Student Achievement is what students know and can do, from STAAR, CCMR and graduation. School Progress is how far students have come or how campuses compare to similar comparison groups, and is itself the better of Academic Growth or Relative Performance. Closing the Gaps is how different student groups are performing. A is the 90 to 100 band.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How can Boerne ISD be an A district if some campuses rate lower?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Because the rating is a weighted composite that takes the better of achievement or progress for 70 percent of the score. A strong achievement score can carry a weaker growth score. The district composite is not an average of campus grades, which is why Boerne ISD can hold six straight A ratings while four of its elementaries rate lower.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Did every Boerne ISD campus earn an A rating?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. The Boerne Star reported that Viola Wilson, Currington, Herff and Kendall elementaries received lower grades than the district's overall A. A child attends one campus, so look up the individual campus rating and its domain breakdown for the attendance zone of the specific address.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the Boerne ISD tax rate?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The 2025 adopted rate was 1.0109 per $100 of taxable value, made up of 0.6969 for maintenance and operations plus 0.3140 for debt service. Recent years were 0.9909 in 2024, 0.9932 in 2023, 1.1786 in 2022 and 1.2046 in 2021.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can attendance zones change in Boerne ISD?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. Kendall County grew 20.3 percent between 2020 and 2025, and districts absorbing that growth open campuses and redraw boundaries. No listing or agent can guarantee a future attendance zone. Confirm the current zone with the district in writing before relying on it.""
      }
    }
  ]
}"
"are-property-taxes-prorated-at-closing-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Are property taxes prorated at closing in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. Under Paragraph 13 of the TREC 20-19 contract, taxes for the current year are prorated through the Closing Date. The title company allocates the year between seller and buyer on the settlement statement, the proration may take a change in exemptions into account, and the parties must adjust it once the actual tax statements are available.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What does TREC Paragraph 13 say about prorations?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""It provides that taxes for the current year, interest, rents, and regular periodic maintenance fees, assessments and dues are prorated through the Closing Date; that the tax proration may take into consideration any change in exemptions affecting the current year's taxes; that the parties shall adjust the prorations when current-year tax statements are available; and that if taxes are not paid at or prior to closing, Buyer shall pay taxes for the current year.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Do I get the seller's homestead or over-65 exemption for the rest of the year?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Exemptions, the over-65 school tax ceiling and the 10 percent homestead cap do not transfer to a buyer. A buyer's own homestead exemption requires owning and occupying the home as a principal residence on January 1, so a mid-year buyer generally starts the following year. Paragraph 13 allows the proration to take that change into consideration.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Who adjusts the proration if the actual tax bill is different?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Paragraph 13 requires the parties to adjust the prorations when current-year tax statements are available. The obligation runs between buyer and seller, not through the title company, and nothing automatically triggers it after the file closes. Enforcement questions belong with a Texas real estate attorney.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Why does my settlement statement show taxes twice?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The proration credit and the escrow reserve deposit are different lines. Paragraph 12A(2) makes reserve deposits for ad valorem taxes a Buyer's Expense, while Paragraph 12A(1) makes tax statements or certificates a Seller's Expense. Ask the title company to walk through each line.""
      }
    }
  ]
}"
"boerne-vs-fair-oaks-ranch-vs-bulverde","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Boerne vs. Fair Oaks Ranch vs. Bulverde: which should I buy in?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne is the Kendall County seat on I-10, with city utilities and Boerne ISD. Fair Oaks Ranch incorporated in 1988 and spans Bexar, Comal and Kendall counties, so your appraisal district depends on the lot. Bulverde is Comal County, incorporated 1999, Comal ISD, on US 281.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What county is Fair Oaks Ranch, Texas in?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""All three of Bexar, Comal and Kendall. Fair Oaks Ranch city limits span the three counties, so the county that appraises a given home, takes its homestead exemption and bills county taxes depends on which side of the county line the lot sits on.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What school district serves Bulverde, Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Comal ISD. Bulverde is in Comal County and is not served by Boerne ISD. Most of Fair Oaks Ranch, by contrast, is served by Boerne ISD even though parts of that city sit in Bexar and Comal counties.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""When were Fair Oaks Ranch and Bulverde incorporated?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Fair Oaks Ranch incorporated in 1988 and had a 2020 census population of 9,833. Bulverde incorporated in 1999 and had a 2020 census population of 5,692. Boerne is the long-established county seat of Kendall County, with an 18,084 population in the 2020 census.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Is the Comal ISD tax rate higher than Boerne ISD?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. For 2025, per $100 of taxable value, Comal ISD adopted 1.0748, made up of 0.7248 maintenance and operations plus 0.3500 debt, down from 1.0869 in 2024 and 1.0892 in 2023. Boerne ISD adopted 1.0109 and Comfort ISD 0.9328. The school district is the largest single component of a Hill Country tax bill, larger than the City of Boerne at 0.4716 and Kendall County at 0.377 combined.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Which highway serves each town?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne sits on Interstate 10 roughly 31 miles northwest of San Antonio. US 281 runs through the east side of Bulverde. Fair Oaks Ranch sits between the two corridors on the northwest edge of Bexar County.""
      }
    }
  ]
}"
"can-an-hoa-ban-short-term-rentals-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Can an HOA ban short-term rentals in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Often yes. Texas has no statewide short-term rental preemption statute, and an HOA declaration is a private contract that can be amended to restrict or prohibit short-term rentals. Tarr v. Timberwood Park (Tex. 2018) held only that a bare residential-purposes-only covenant does not by itself bar short stays.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What did Tarr v. Timberwood Park actually hold?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""In Tarr v. Timberwood Park Owners Association, No. 17-0088 (Tex. 2018), the Texas Supreme Court held unanimously that where renters use a single-family home for a residential purpose, the rental does not violate a bare 'residential purposes only' covenant regardless of the length of stay. The holding interprets that covenant. It is not a rule that HOAs can never restrict short-term rentals, and it does not address city zoning or permits.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can a Texas HOA amend its declaration to prohibit short-term rentals later?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Deed restrictions are private contracts and most Texas declarations include an amendment mechanism. Texas appellate courts have upheld amended declarations that restrict short-term rentals. Whether a specific amendment binds a specific owner depends on the amendment language and the declaration's own amendment provision, which is a question for a Texas real estate attorney.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does a city short-term rental permit override HOA deed restrictions in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. A city permit is permission from the city and says nothing about the recorded declaration. HOA permission likewise says nothing about whether the city will issue a permit. A buyer needs both cleared independently before the option period expires.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How do I check HOA short-term rental restrictions before buying in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Get the full recorded declaration and every recorded amendment, not a summary. Order the subdivision information including the resale certificate, which Texas Property Code Chapter 207 requires the association to provide within 10 business days of a proper written request. Check for pending amendment votes and enforcement history, and have a Texas real estate attorney read the document.""
      }
    }
  ]
}"
"can-i-defer-my-property-taxes-in-texas-over-65","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Can I defer my property taxes in Texas if I'm over 65?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. A Texas homeowner 65 or older can defer property taxes on their residence homestead by filing Comptroller Form 50-126 with the appraisal district. Deferral stops foreclosure and delinquency penalties while it is in effect, but the taxes keep accruing at 5 percent annual interest under Tax Code 33.06 and eventually come due.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the interest rate on a Texas property tax deferral?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Five percent annually. Texas Tax Code 33.06(d) provides that the annual interest rate during the deferral or abatement period is five percent instead of the rate provided by Section 33.01. The balance continues to grow for as long as the deferral is in place.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does a Texas tax deferral forgive the taxes?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. A deferral is a pause on collection against the residence homestead, not a reduction. The taxes remain assessed and accrue interest. They become payable when the qualifying owner no longer owns and occupies the property as a homestead, including on a sale or at death.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can I defer property taxes if I have a mortgage?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""It depends on the loan. Most loan agreements require property taxes to be kept current, and escrowed loans pay them directly. A servicer may advance the taxes and bill the borrower. Confirm compatibility with the lender or servicer in writing before filing.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What should I do before deferring Texas property taxes?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Confirm every exemption is posted: the $140,000 school district homestead exemption for 2026, the additional $60,000 for owners 65 or older or disabled, the school tax ceiling, any local entity freeze, and any disabled veteran exemption. Also check whether the appraised value is correct, since a protest is free.""
      }
    }
  ]
}"
"conventional-vs-fha-vs-va-loan-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Conventional vs. FHA vs. VA loan in Texas: which one should I use?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Conventional loans follow the 2026 conforming limit of $832,750 for one unit. FHA uses a nationwide floor of $541,287 and a ceiling of $1,249,125, set by county. VA loans have no loan limit for a veteran with full entitlement, and the funding fee is waived for service-connected disability compensation. Ask a lender to price all three.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the 2026 conforming loan limit?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""For 2026 the Federal Housing Finance Agency set the one-unit conforming loan limit at $832,750, up $26,250 from 2025's $806,500, with a high-cost ceiling of $1,249,125. The increase followed third-quarter 2025 house price index data showing prices up 3.26 percent year over year.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What are the 2026 FHA loan limits?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Per Mortgagee Letter 2025-23, the 2026 nationwide FHA one-unit floor is $541,287 and the ceiling is $1,249,125, effective for case numbers assigned January 1 through December 31, 2026. Each county's actual limit falls between those and is published on HUD's mortgage limits lookup tool.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Do VA loans have a limit in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Veterans with full entitlement have no VA loan limit, and the VA guaranty does not exceed 25 percent. That means the VA is not capping the loan amount, not that a lender will approve any amount. Entitlement may be partial for a veteran with an existing VA loan or a prior VA foreclosure; the Certificate of Eligibility settles it.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does the loan program I choose affect a later cash-out refinance in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Not directly, because the Texas rule applies regardless of program. A cash-out or home equity loan on a Texas homestead is governed by the Texas Constitution, Section 50(a)(6), capping total borrowing against the homestead at 80 percent of fair market value, with a 12-day waiting period, a 2 percent cap on most fees, non-recourse treatment, and one such loan at a time.""
      }
    }
  ]
}"
"do-i-need-a-real-estate-attorney-to-buy-a-house-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Do I need a real estate attorney to buy a house in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Texas does not require a real estate attorney to buy a house. The title company handles escrow, title search and closing documents, and license holders use TREC promulgated forms. An attorney is the right call for title defects, probate or estate sales, deed drafting, deed restriction questions, and any custom contract language.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Is Texas an attorney closing state?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Texas is a title company state. The title company acts as escrow agent, performs the title search, issues the commitment and policy, prepares closing documents and disburses funds. That is the role an attorney fills in attorney-closing states.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can a Texas REALTOR write contract language for me?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Paragraph 23 of TREC form 20-19, titled CONSULT AN ATTORNEY BEFORE SIGNING, states that TREC rules prohibit real estate brokers and sales agents from giving legal advice. License holders are required to use TREC promulgated forms and TREC does not write custom contracts. Custom terms require a Texas real estate attorney.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does the Texas contract itself recommend hiring an attorney?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes, in two places. Paragraph 23 is titled CONSULT AN ATTORNEY BEFORE SIGNING and provides printed fields for each party's attorney. Paragraph 6E(1) states that Broker advises Buyer to have an abstract of title examined by an attorney of Buyer's selection, and that if a Title Policy is furnished the Commitment should be promptly reviewed by an attorney of Buyer's choice due to the time limitations on Buyer's right to object.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""When should I hire a real estate attorney in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""For title defects flagged in the commitment, probate or estate sales, deed drafting including transfers into a trust or entity, deed restriction interpretation, partition among co-owners, marital and community property questions, custom contract language, and any dispute over default or an earnest money release.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does hiring an attorney lower my title insurance cost in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Texas title insurance premium rates are promulgated by the Texas Department of Insurance, so the premium for a given policy amount is the same at every title company in the state regardless of who represents you.""
      }
    }
  ]
}"
"do-i-need-flood-insurance-in-boerne","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Do I need flood insurance in Boerne, Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""If the property is in a FEMA Special Flood Hazard Area and you are using a federally backed loan, the lender will require flood insurance. Outside that zone it is optional but not unnecessary — a map line is not a risk assessment. Boerne is in Kendall County; get a flood quote during the option period.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is a Special Flood Hazard Area?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The 100-year floodplain, covering FEMA Zones A, V, A99, AE, AO, AH, VE and AR, with a 1 percent annual chance of flooding. The 500-year floodplain, shaded Zone X, is a moderate flood hazard area with a 0.2 percent annual chance. Texas Property Code section 5.008 uses both categories in the seller's disclosure notice.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What does the Texas seller's disclosure say about flooding?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""It asks whether the property is in a 100-year or 500-year floodplain, whether it has flooded at least once in the past five years, whether it is in a reservoir flood pool, whether it has been repaired for flood damage, and whether the seller received assistance or flood insurance proceeds. These questions were added by SB 339, 86th Legislature, mandatory for contracts executed on or after September 1, 2019.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can a house outside a flood zone still flood?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. FEMA maps are engineering products drawn on data of varying vintage and updated on a lagging schedule. Upstream development, new impervious cover and undersized drainage can change real-world risk without changing the map. Being outside the Special Flood Hazard Area means your lender will not require a policy, not that water cannot reach the structure.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""When should I get a flood insurance quote when buying in Boerne?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""During the option period, on the same schedule as the inspection. The option period runs on calendar days and the termination right expires at 5:00 p.m. local time on the last day. A premium figure that arrives after the option period closes is information you can no longer act on.""
      }
    }
  ]
}"
"does-boerne-flood","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Does Boerne, Texas flood?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Flood risk in Boerne is address-specific, not city-wide. Whether a particular property floods is determined by its FEMA flood zone, the seller's disclosure under Texas Property Code 5.008, and an insurance quote. A property outside the mapped Special Flood Hazard Area can still flood; the map is not a risk assessment.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What do FEMA flood zone designations mean in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The 100-year floodplain, or Special Flood Hazard Area, covers Zones A, V, A99, AE, AO, AH, VE and AR and carries a 1% annual chance of flooding. The 500-year floodplain is a moderate flood hazard area, shaded Zone X, with a 0.2% annual chance. A 100-year flood is the 1%-per-year event, not an event that happens once a century.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does a Texas seller have to disclose flooding?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. Since SB 339 of the 86th Legislature, mandatory for contracts executed on or after September 1, 2019, the statutory seller's disclosure notice asks whether the property is in a 100-year or 500-year floodplain, whether it has flooded at least once in the past 5 years, whether it is in a reservoir flood pool, and whether it has been repaired for flood damage or the seller received flood insurance proceeds.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can a property outside a flood zone still flood in the Hill Country?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. FEMA maps are engineering products built on the drainage and development conditions in place when the study was done, and they do not model every creek, culvert or low-water crossing. A map designation is not a risk assessment. Physical position relative to a creek or draw, and how the neighborhood drains, matter as much as the zone.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""When should a buyer investigate flood risk in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""During the option period, which is the window in which a Texas buyer has an unrestricted right to terminate. Pull the FEMA zone for the exact address, get a real insurance quote, ask a surveyor about an elevation certificate, and read the seller's disclosure flood answers. The option fee must reach the title company within three days of the effective date or the termination right is lost.""
      }
    }
  ]
}"
"does-boerne-have-enough-water","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Does Boerne have enough water?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne draws from three sources — Canyon Lake surface water purchased through the Guadalupe-Blanco River Authority, Boerne City Lake, and local wells in the Trinity Group aquifers. Supply is actively managed, not unlimited: the Cow Creek Groundwater Conservation District sets drought stages and pumping rules countywide. Check ccgcd.org for the current stage.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Where does Boerne, Texas get its drinking water?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""From three sources: Canyon Lake surface water purchased through the Guadalupe-Blanco River Authority, Boerne City Lake, and local wells in the Trinity Group aquifers. Drawing from more than one source lets the city lean on surface water when groundwater is stressed and the reverse.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Who regulates groundwater in Kendall County?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The Cow Creek Groundwater Conservation District. It sets drought stages using roughly 42 monitor wells, stream gauges on Cibolo Creek and the Guadalupe River, and more than 100 rain gauge sites. Stages have ranged between Stage 2 and Stage 4, with Stage 4 emergency rules reported to carry mandatory pumping reductions.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Is buying a Boerne-area home on a well different from buying on city water?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Substantially. On city water, supply and drought management are the utility's responsibility. On a private well, the buyer owns the risk and should evaluate tested yield, depth, casing and pump condition, water quality, any shared-well agreement, and the district's permitting and pumping limits. A general home inspection does not evaluate a well.""
      }
    }
  ]
}"
